,word,percent
40,tool,57.30769230769231
67,project,57.30769230769231
22,requirement,51.53846153846153
10,responsibility,50.76923076923077
47,apply,49.23076923076923
31,education,48.84615384615385
16,predictive,48.07692307692308
225,laboratory,48.07692307692308
38,modeling,48.07692307692308
174,technology,47.69230769230769
233,medical,47.69230769230769
144,result,47.30769230769231
134,team,46.92307692307692
209,qualification,46.92307692307692
111,developing,46.53846153846154
118,one,46.15384615384615
89,model,45.38461538461539
175,health,45.38461538461539
182,able,45.0
55,lead,44.61538461538462
83,relevant,44.61538461538462
97,multiple,44.61538461538462
208,make,43.84615384615385
186,excellent,43.84615384615385
132,opportunity,43.84615384615385
15,algorithm,43.84615384615385
78,"learning,",43.46153846153846
130,include,43.46153846153846
145,level,43.07692307692308
160,national,43.07692307692308
24,strategy,42.69230769230769
148,applicant,42.30769230769231
28,"analysis,",42.30769230769231
7,people,42.30769230769231
45,insight,41.92307692307693
226,study,41.53846153846154
247,lab,41.53846153846154
192,group,41.15384615384615
122,based,41.15384615384615
170,engineering,41.15384615384615
73,build,40.76923076923077
104,role,40.76923076923077
50,help,40.76923076923077
94,large,40.76923076923077
162,protected,40.76923076923077
93,leading,40.38461538461539
219,preferred,40.0
33,program,40.0
63,individual,40.0
224,global,39.61538461538461
193,service,39.23076923076923
62,highly,39.23076923076923
169,u,39.23076923076923
190,create,38.46153846153847
8,join,37.69230769230769
232,product,37.69230769230769
171,please,37.69230769230769
207,system,37.30769230769231
203,report,37.30769230769231
176,employer,36.92307692307693
86,minimum,36.92307692307693
71,expertise,36.53846153846153
117,programming,36.53846153846153
70,area,36.53846153846153
211,senior,36.15384615384615
206,various,36.15384615384615
163,veteran,35.76923076923077
143,process,35.38461538461539
187,value,35.38461538461539
90,method,35.38461538461539
87,professional,35.0
215,benefit,35.0
14,analytic,35.0
141,big,35.0
216,life,34.61538461538461
223,written,34.61538461538461
166,performance,34.61538461538461
51,problem,34.61538461538461
184,key,34.61538461538461
66,drive,34.23076923076923
36,equivalent,34.23076923076923
42,platform,34.23076923076923
151,without,34.23076923076923
81,"engineering,",34.23076923076923
80,"statistics,",33.84615384615385
9,duty,33.84615384615385
185,/,33.46153846153846
108,identify,33.46153846153846
88,building,33.46153846153846
30,mining,33.46153846153846
18,presentation,33.46153846153846
91,demonstrated,33.07692307692307
221,member,32.69230769230769
76,also,32.69230769230769
136,variety,32.69230769230769
39,database,32.69230769230769
6,looking,32.69230769230769
48,innovative,32.69230769230769
26,test,32.30769230769231
125,internal,32.30769230769231
74,best,32.30769230769231
154,"color,",31.92307692307692
236,care,31.92307692307692
147,qualified,31.92307692307692
27,marketing,31.92307692307692
58,scientist,31.92307692307692
5,set,31.538461538461537
25,"development,",31.538461538461537
32,training,31.153846153846153
119,language,31.153846153846153
13,sql,30.76923076923077
139,external,30.76923076923077
20,client,30.76923076923077
188,ensure,30.384615384615383
248,protein,30.384615384615383
3,u.s.,30.384615384615383
204,conduct,30.384615384615383
246,*,30.384615384615383
56,deliver,30.0
168,state,30.0
189,plan,30.0
102,etc.,30.0
84,phd,29.615384615384617
153,"race,",29.230769230769234
138,present,29.230769230769234
113,applied,29.230769230769234
112,solving,29.230769230769234
239,provides,29.230769230769234
183,time,28.846153846153843
106,analyze,28.846153846153843
222,assist,28.846153846153843
29,implement,28.846153846153843
34,successful,28.46153846153846
52,deep,28.46153846153846
240,department,28.46153846153846
243,manufacturing,28.46153846153846
82,operation,28.46153846153846
109,take,28.46153846153846
164,"status,",28.46153846153846
128,communicate,28.076923076923077
127,application,28.076923076923077
161,"origin,",28.076923076923077
155,"religion,",28.076923076923077
53,organization,27.692307692307693
173,high,27.692307692307693
227,regulatory,27.692307692307693
217,molecular,26.923076923076923
210,appropriate,26.923076923076923
124,environmental,26.923076923076923
60,"data,",26.923076923076923
49,approach,26.923076923076923
95,diverse,26.53846153846154
37,experience.,26.53846153846154
152,regard,26.53846153846154
241,standard,26.53846153846154
230,review,26.53846153846154
103,part,26.153846153846157
167,employee,26.153846153846157
159,gender,26.153846153846157
41,"r,",26.153846153846157
96,cloud,26.153846153846157
191,discipline,25.769230769230766
212,leadership,25.769230769230766
133,candidate,25.769230769230766
64,partner,25.769230769230766
157,sexual,25.769230769230766
199,experimental,25.769230769230766
69,expert,25.384615384615383
59,career,25.384615384615383
44,committed,25.384615384615383
158,"orientation,",25.0
178,federal,25.0
2,status,25.0
115,background,25.0
35,plus,25.0
250,Â·,24.615384615384617
123,improve,24.615384615384617
172,"design,",24.615384615384617
126,customer,24.615384615384617
99,skills.,24.615384615384617
140,environment.,24.615384615384617
196,"management,",24.615384615384617
107,"skills,",24.23076923076923
218,cell,24.23076923076923
228,maintain,24.23076923076923
201,procedure,24.23076923076923
149,receive,24.23076923076923
114,quantitative,24.23076923076923
249,3m,23.846153846153847
11,primary,23.846153846153847
61,decision,23.846153846153847
120,source,23.846153846153847
131,stakeholder,23.846153846153847
213,meet,23.846153846153847
68,need,23.46153846153846
156,"sex,",23.46153846153846
100,proficiency,23.46153846153846
202,specific,23.46153846153846
101,"python,",23.46153846153846
242,general,23.46153846153846
245,engineer,23.076923076923077
197,master,23.076923076923077
181,description,23.076923076923077
54,capability,23.076923076923077
231,additional,22.692307692307693
129,function,22.692307692307693
200,activity,22.692307692307693
214,offer,22.692307692307693
85,preferred.,22.692307692307693
65,leader,22.692307692307693
4,consumer,22.30769230769231
235,staff,22.30769230769231
110,action,22.30769230769231
77,qualifications:,22.30769230769231
21,understand,21.923076923076923
205,issue,21.923076923076923
198,recommendation,21.923076923076923
1,challenge,21.923076923076923
92,providing,21.923076923076923
137,reporting,21.923076923076923
234,independently,21.923076923076923
150,consideration,21.923076923076923
179,document,21.923076923076923
220,:,21.923076923076923
23,potential,21.923076923076923
146,effectively,21.923076923076923
72,data.,21.53846153846154
194,office,21.53846153846154
116,(e.g.,21.53846153846154
135,existing,21.53846153846154
238,bioinformatics,21.53846153846154
0,summary,21.53846153846154
12,following,21.53846153846154
237,financial,21.53846153846154
43,world,21.53846153846154
105,available,21.153846153846153
244,required.,21.153846153846153
19,documentation,21.153846153846153
79,"mathematics,",21.153846153846153
195,range,20.76923076923077
180,seeking,20.76923076923077
142,evaluation,20.76923076923077
57,implementation,20.76923076923077
229,contribute,20.76923076923077
17,"modeling,",20.384615384615383
121,python,20.384615384615383
98,visualization,20.384615384615383
75,initiative,20.384615384615383
165,disability,20.384615384615383
46,solve,20.384615384615383
177,"disability,",20.384615384615383
